,2.7225E7
US98212BAF04,7623000.0
US05351LAJ61,1089000.0
US20605PAE16,2.3958E7
US84762LAQ86,8712000.0
US402635AF38,8712000.0
US62912XAD66,7623000.0
US60877UBE64,1.5246E7
US45174HAA59,1.0890001E7
US62913TAH59,7623000.0
US184496AJ69,1.0890001E7
US18451QAH11,3.0492E7
US10524PAA84,6534000.0
US428040CS68,9801001.0
US85207UAH86,4.0293E7
US78454LAL45,8712000.0
US058498AR71,1089000.0
US12543DAV29,3.8115E7
US767754CH50,2.9403002E7
US79970YAD76,1.4157001E7
US29273EAC21,2.0691002E7
US12008RAJ68,1.0890001E7
US256746AD02,7623000.0
US78388JAU07,1.6335001E7
US02563LAC28,6534000.0
US436440AH47,1.4157001E7
US82845LAA89,8712000.0
US02154VAB71,2.2869E7
US23918KAQ13,2.9403002E7
US911365BC77,1.5246E7
US095370AB82,1.1979E7
US212015AH47,2.7225E7
US12594KAA07,7623000.0
US501797AM65,9801001.0
US13057QAG29,2.7225E7
US12505FAD33,7623000.0
US05453GAA31,6534000.0
US12768WAB28,1.1979E7
US887228AA20,9801001.0
US780099CE50,3.4848E7
US095796AA63,1.3068E7
US268787AD07,5445000.5
US532716AU19,2178000.0
US737446AH75,1089000.0
US01551UAB08,1.0890001E7
US460599AC74,1.6335001E7
US268787AF54,1.0890001E7
US88160QAD51,9801001.0
US024747AC12,5445000.5
US87927YAA01,2.5047002E7
US27890GAB68,8712000.0
US404119BM05,2.2869E7
US737446AL87,1.3068E7
US29358QAC33,1.0890001E7
US489399AG06,1.4157001E7
US125581GL68,2.1780002E7
US98212BAE39,5445000.5
US15135BAJ08,1.6335001E7
US983793AF76,7623000.0
US989194AP01,1.0890001E7
US98954NAA72,2.9403002E7
US035659AA99,8712000.0
US68276CAA53,8712000.0
US64072TAE55,2.9403002E7
US032177AE79,6534000.0
US88104UAA16,1.3068E7
US570254AB85,4356000.0
US25470XAW56,2.9403002E7
US983793AD29,2.5047002E7
US98212BAG86,8712000.0
US131477AN18,1.1979E7
US460599AA19,8712000.0
US45763PAE60,1.4157001E7
US016094AA27,6534000.0
US45867XAG97,9801001.0
US74339KAA07,8712000.0
US644535AF36,6534000.0
US398435AC17,1.4157001E7
US89078YAA38,6534000.0
US46124TAA88,1.1979E7
US96758GAB23,9801001.0
US206519AB61,5445000.5
US085790AY96,8712000.0
US629377CA80,1.5246E7
US013822AB71,7623000.0
US32008DAA46,2.8314002E7
US65341XAA63,1.1979E7
US494580AE31,8712000.0
US369300AN82,7623000.0
US131347CE49,2.1780002E7
US761735AV10,1.0890001E7
US79970YAB11,9801001.0
US53219LAN91,7623000.0
US29444UAM80,1.5246E7
US947075AK32,7623000.0
US62913TAL61,1.0890001E7
US828326AA66,7623000.0
US87952VAL09,6534000.0
US030981AK06,8712000.0
US053499AJ89,2178000.0
US75281AAX72,5445000.5
US097751BF74,1.6335001E7
US05583PAA66,1.0890001E7
US62947QAV05,1.0890001E7
US23311VAD91,5445000.5
US451102AX52,2.6136E7
US92660FAG90,7623000.0
US496902AJ65,1089000.0
US579489AG05,6534000.0
US513075BH36,5445000.5
US55181XAA00,9801001.0
US74733VAC46,7623000.0
US29273AAA43,7623000.0
US220517AA40,1.1979E7
US55354GAA85,1.3068E7
US02376RAB87,6534000.0
US29273EAA64,1.4157001E7
US20903XAE31,7623000.0
US877249AC65,7623000.0
US829259AM20,6534000.0
US212015AL58,2.1780002E7
US25278XAF69,6534000.0
US81727TAA60,1.1979E7
US23311RAH93,8712000.0
US45174HAC16,8712000.0
US552953CC35,1.7424E7
US79546VAL09,1.0890001E7
US26613TAE01,7623000.0
US67054LAB36,5.9895E7
US12513GBB41,4356000.0
US451102BF38,1.9602002E7
US221643AH22,4356000.0
US364725BD24,9801001.0
US12505FAB76,7623000.0
US89469AAC80,1.0890001E7
US457153AG90,7623000.0
US23422RAB87,8712000.0
US70457LAB09,6534000.0
US02406PAP53,1.0890001E7
US15135BAD38,1.4157001E7
US745867AW12,1.1979E7
US443628AG71,7623000.0
US893828AA14,8712000.0
US29266RAC25,6534000.0
US203372AL13,5445000.5
US62886HAN17,1.1979E7
US05409QAA67,7623000.0
US038522AK47,9801001.0
US92856JAA88,1.1979E7
US83404DAA72,3.8115E7
US15135BAF85,2.2869E7
US55342UAF12,3267000.0
US432891AJ89,3267000.0
US40415RAQ83,1.8513E7
US25272KAU79,2.8314002E7
US64189PAA12,8712000.0
US74736KAD37,7623000.0
US595112BD40,2.2869E7
US561233AA57,1.1979E7
US81783QAA31,1.0890001E7
US33936YAA38,8712000.0
US29444UAQ94,1.6335001E7
US043436AN49,7623000.0
US75281AAZ21,1.1979E7
US74166NAA28,1.3068E7
US12527GAE35,8712000.0
US226373AM04,4356000.0
US165167CQ81,3.7026E7
US87422VAA61,6534000.0
US816196AQ29,9801001.0
US526057BT02,2178000.0
US034863AG56,3267000.0
US674215AG39,1.3068E7
US74166MAA45,5.1183E7
US35906AAT51,1.5246E7
US73179PAK21,8712000.0
US12623EAF88,6534000.0
US74736WAA36,9801001.0
US827048AP43,3267000.0
US68347TAA34,8712000.0
US518613AD62,2.2869E7
US45672NAG60,2.3958E7
US095370AD49,7623000.0
US871503AU26,1.6335001E7
US680665AJ53,3267000.0
US98877DAC92,2.3958E7
US03938LAZ76,7623000.0
US228189AB23,1.4157001E7
US14070HAA68,9801001.0
US12663QAA31,8712000.0
US817565CB82,1.3068E7
US428302AA14,2.0691002E7
US845467AK59,8712000.0
US02563LAE83,8712000.0
US00164VAD55,1.4157001E7
US76117WAB54,7623000.0
US897050AB62,1.3068E7
US36164YAA91,7623000.0
US91831AAB70,3.7026E7
US81725WAG87,1.0890001E7
US432891AD10,2.2869E7
US74977XAB73,7623000.0
US31562QAC15,2.0691002E7
US05508WAA36,8712000.0
US893829AA96,5445000.5
US694184AA06,4356000.0
US319963BP82,5.2272E7
US29260FAA84,7623000.0
US628782AJ35,1.6335001E7
US044209AK03,6534000.0
